datetime;count
2013-10-05T00:00:00.000+0300;16
2013-10-06T00:00:00.000+0300;4
2013-10-07T00:00:00.000+0300;109
2013-10-08T00:00:00.000+0300;93
2013-10-09T00:00:00.000+0300;12
2013-10-10T00:00:00.000+0300;27
2013-10-11T00:00:00.000+0300;171
2013-10-12T00:00:00.000+0300;0
2013-10-13T00:00:00.000+0300;15
2013-10-14T00:00:00.000+0300;94
2013-10-15T00:00:00.000+0300;30
2013-10-16T00:00:00.000+0300;17
2013-10-17T00:00:00.000+0300;45
2013-10-18T00:00:00.000+0300;9
2013-10-19T00:00:00.000+0300;0
2013-10-20T00:00:00.000+0300;6
2013-10-21T00:00:00.000+0300;86
2013-10-22T00:00:00.000+0300;109
2013-10-23T00:00:00.000+0300;64
2013-10-24T00:00:00.000+0300;43
2013-10-25T00:00:00.000+0300;40
2013-10-26T00:00:00.000+0300;4
2013-10-27T00:00:00.000+0300;0
2013-10-28T00:00:00.000+0200;36
2013-10-29T00:00:00.000+0200;63
2013-10-30T00:00:00.000+0200;51
2013-10-31T00:00:00.000+0200;33
2013-11-01T00:00:00.000+0200;37
2013-11-02T00:00:00.000+0200;2
2013-11-03T00:00:00.000+0200;2
2013-11-04T00:00:00.000+0200;37
2013-11-05T00:00:00.000+0200;27
2013-11-06T00:00:00.000+0200;69
2013-11-07T00:00:00.000+0200;41
2013-11-08T00:00:00.000+0200;76
2013-11-09T00:00:00.000+0200;1
2013-11-10T00:00:00.000+0200;8
2013-11-11T00:00:00.000+0200;99
2013-11-12T00:00:00.000+0200;35
2013-11-13T00:00:00.000+0200;23
2013-11-14T00:00:00.000+0200;50
2013-11-15T00:00:00.000+0200;24
2013-11-16T00:00:00.000+0200;3
2013-11-17T00:00:00.000+0200;6
2013-11-18T00:00:00.000+0200;42
2013-11-19T00:00:00.000+0200;62
2013-11-20T00:00:00.000+0200;30
2013-11-21T00:00:00.000+0200;291
2013-11-22T00:00:00.000+0200;27
2013-11-23T00:00:00.000+0200;0
2013-11-24T00:00:00.000+0200;393
2013-11-25T00:00:00.000+0200;18
2013-11-26T00:00:00.000+0200;65
2013-11-27T00:00:00.000+0200;15
2013-11-28T00:00:00.000+0200;1107
2013-11-29T00:00:00.000+0200;33
2013-11-30T00:00:00.000+0200;0
2013-12-01T00:00:00.000+0200;0
2013-12-02T00:00:00.000+0200;208
2013-12-03T00:00:00.000+0200;59
2013-12-04T00:00:00.000+0200;80
2013-12-05T00:00:00.000+0200;3
2013-12-06T00:00:00.000+0200;2
2013-12-07T00:00:00.000+0200;0
2013-12-08T00:00:00.000+0200;0
2013-12-09T00:00:00.000+0200;23
2013-12-10T00:00:00.000+0200;18
2013-12-11T00:00:00.000+0200;28
2013-12-12T00:00:00.000+0200;64
2013-12-13T00:00:00.000+0200;68
2013-12-14T00:00:00.000+0200;0
